Airport.Code,Airport.Name,Time.Label,Time.Month,Statistics.Flights.Total
PDX,"Portland, OR: Portland International",2004/04,4,4612
PHL,"Philadelphia, PA: Philadelphia International",2004/04,4,9049
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",2004/04,4,14118
SAN,"San Diego, CA: San Diego International",2004/04,4,6957
SEA,"Seattle, WA: Seattle/Tacoma International",2004/04,4,8653
SFO,"San Francisco, CA: San Francisco International",2004/04,4,10757
SLC,"Salt Lake City, UT: Salt Lake City International",2004/04,4,11072
TPA,"Tampa, FL: Tampa International",2004/04,4,5865
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2004/05,5,34896
BOS,"Boston, MA: Logan International",2004/05,5,10985
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2004/05,5,8902
CLT,"Charlotte, NC: Charlotte Douglas International",2004/05,5,8857
DCA,"Washington, DC: Ronald Reagan Washington National",2004/05,5,7615
DEN,"Denver, CO: Denver International",2004/05,5,12820
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2004/05,5,29467
DTW,"Detroit, MI: Detroit Metro Wayne County",2004/05,5,12305
EWR,"Newark, NJ: Newark Liberty International",2004/05,5,12998
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",2004/05,5,5410
IAD,"Washington, DC: Washington Dulles International",2004/05,5,8990
IAH,"Houston, TX: George Bush Intercontinental/Houston",2004/05,5,17238
JFK,"New York, NY: John F. Kennedy International",2004/05,5,7278
LAS,"Las Vegas, NV: McCarran International",2004/05,5,13277
LAX,"Los Angeles, CA: Los Angeles International",2004/05,5,19345
LGA,"New York, NY: LaGuardia",2004/05,5,10702
MCO,"Orlando, FL: Orlando International",2004/05,5,8891
MDW,"Chicago, IL: Chicago Midway International",2004/05,5,7729
MIA,"Miami, FL: Miami International",2004/05,5,5583
MSP,"Minneapolis, MN: Minneapolis-St Paul International",2004/05,5,12466
ORD,"Chicago, IL: Chicago O'Hare International",2004/05,5,32756
PDX,"Portland, OR: Portland International",2004/05,5,4715
PHL,"Philadelphia, PA: Philadelphia International",2004/05,5,9683
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",2004/05,5,14271
SAN,"San Diego, CA: San Diego International",2004/05,5,7244
SEA,"Seattle, WA: Seattle/Tacoma International",2004/05,5,9326
SFO,"San Francisco, CA: San Francisco International",2004/05,5,11157
SLC,"Salt Lake City, UT: Salt Lake City International",2004/05,5,11659
TPA,"Tampa, FL: Tampa International",2004/05,5,5837
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2004/06,6,34296
BOS,"Boston, MA: Logan International",2004/06,6,11276
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2004/06,6,8882
CLT,"Charlotte, NC: Charlotte Douglas International",2004/06,6,8654
DCA,"Washington, DC: Ronald Reagan Washington National",2004/06,6,7615
DEN,"Denver, CO: Denver International",2004/06,6,13403
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2004/06,6,28426
DTW,"Detroit, MI: Detroit Metro Wayne County",2004/06,6,12333
EWR,"Newark, NJ: Newark Liberty International",2004/06,6,13135
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",2004/06,6,5118
IAD,"Washington, DC: Washington Dulles International",2004/06,6,9055
IAH,"Houston, TX: George Bush Intercontinental/Houston",2004/06,6,16852
JFK,"New York, NY: John F. Kennedy International",2004/06,6,7564
LAS,"Las Vegas, NV: McCarran International",2004/06,6,13089
LAX,"Los Angeles, CA: Los Angeles International",2004/06,6,19240
LGA,"New York, NY: LaGuardia",2004/06,6,10738
MCO,"Orlando, FL: Orlando International",2004/06,6,8835
MDW,"Chicago, IL: Chicago Midway International",2004/06,6,7767
MIA,"Miami, FL: Miami International",2004/06,6,5334
MSP,"Minneapolis, MN: Minneapolis-St Paul International",2004/06,6,12593
ORD,"Chicago, IL: Chicago O'Hare International",2004/06,6,31298
PDX,"Portland, OR: Portland International",2004/06,6,4761
PHL,"Philadelphia, PA: Philadelphia International",2004/06,6,9898
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",2004/06,6,13964
SAN,"San Diego, CA: San Diego International",2004/06,6,7132
SEA,"Seattle, WA: Seattle/Tacoma International",2004/06,6,9847
SFO,"San Francisco, CA: San Francisco International",2004/06,6,11057
SLC,"Salt Lake City, UT: Salt Lake City International",2004/06,6,11802
TPA,"Tampa, FL: Tampa International",2004/06,6,5706
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2004/07,7,35894
BOS,"Boston, MA: Logan International",2004/07,7,11936
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2004/07,7,9182
CLT,"Charlotte, NC: Charlotte Douglas International",2004/07,7,8771
DCA,"Washington, DC: Ronald Reagan Washington National",2004/07,7,7850
DEN,"Denver, CO: Denver International",2004/07,7,13979
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2004/07,7,29517
DTW,"Detroit, MI: Detroit Metro Wayne County",2004/07,7,12736
EWR,"Newark, NJ: Newark Liberty International",2004/07,7,13796
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",2004/07,7,5183
IAD,"Washington, DC: Washington Dulles International",2004/07,7,11878
IAH,"Houston, TX: George Bush Intercontinental/Houston",2004/07,7,17478
JFK,"New York, NY: John F. Kennedy International",2004/07,7,8308
LAS,"Las Vegas, NV: McCarran International",2004/07,7,13439
LAX,"Los Angeles, CA: Los Angeles International",2004/07,7,20340
LGA,"New York, NY: LaGuardia",2004/07,7,10898
MCO,"Orlando, FL: Orlando International",2004/07,7,9272
MDW,"Chicago, IL: Chicago Midway International",2004/07,7,7927
MIA,"Miami, FL: Miami International",2004/07,7,5508
MSP,"Minneapolis, MN: Minneapolis-St Paul International",2004/07,7,13027
ORD,"Chicago, IL: Chicago O'Hare International",2004/07,7,31831
PDX,"Portland, OR: Portland International",2004/07,7,4981
PHL,"Philadelphia, PA: Philadelphia International",2004/07,7,10503
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",2004/07,7,14188
SAN,"San Diego, CA: San Diego International",2004/07,7,7417
SEA,"Seattle, WA: Seattle/Tacoma International",2004/07,7,10370
SFO,"San Francisco, CA: San Francisco International",2004/07,7,11476
SLC,"Salt Lake City, UT: Salt Lake City International",2004/07,7,12146
TPA,"Tampa, FL: Tampa International",2004/07,7,5885
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2004/08,8,36361
BOS,"Boston, MA: Logan International",2004/08,8,12053
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2004/08,8,9245
CLT,"Charlotte, NC: Charlotte Douglas International",2004/08,8,8822
DCA,"Washington, DC: Ronald Reagan Washington National",2004/08,8,8040
